I,“Hosted” (2.) típusú virtualizáció esetén a VMM-et a korábban már telepített operációs rendszerre alkalmazásként telepítjük.
I,"“Hosted” (2.) típusú virtualizáció esetén többféle, egymástól független VMM is futhat a gazdagépen."
I,"A beágyazott operációs rendszer egy adott feladatra specializált, valósidejű működésű szoftver."
I,A beágyazott OS-ek jellemzően előre meghatározott feladatok ellátását támogatják.
I,A blokkgyorsítótár a fizikai memóriát használja a diszkműveletek gyorsítására.
H,A BME cloud rendszerei PaaS (Platform as a Service) virtualizációt valósítanak meg.
I,"A copy-on-write memóriakezelési technika célja, hogy növelje az operációs rendszer teljesítményét."
I,"A copy-on-write technika lehetővé teszi, hogy két taszk ugyanazt a fizikai memóriát használja."
I,A CPU a cserehelyen (swap) lévő adatokhoz közvetlenül nem fér hozzá.
I,A CPU nem tudja végrehajtani a programok cserehelyen (swap) levő utasításait.
I,"A cserehely (swap) célja, hogy bővítse a fizikai memóriát."
I,"A dinamikus többszintű ütemező átrendezheti a szintek között a taszkokat, míg a statikus nem."
I,"A dinamikus többszintű ütemezőben van upgrade, míg a statikus ütemezőben nincs."
I,"A folyamatnak saját memóriatartománya, a szálnak pedig saját verme van."
I,"A FreeRTOS egy valósidejű, beágyazott környezetben használt operációs rendszer."
I,A hálózati kommunikáció (socket) egy asszimetrikus kommunikációs forma.
I,A holtpont detektálására és kezelésére nem minden esetben érdemes felkészítenünk a programunkat.
I,A kemény valósidejű rendszer helyes működése esetén mindig egy adott időkorláton belül válaszol az eseményekre.
I,A kernel egyik alapvető feladata a felhasználói módban működő taszkok felügyelete
I,A kernel moduláris felépítése csökkenti a kernel futásidejű memóriafoglalását.
I,A kiéheztetés statikus prioritást alkalmazó prioritásos ütemezőkben nem kerülhető el.
I,A konvoj hatás például a legrövidebb hátralevő löketidejű (SRTF) algoritmussal kezelhető.
I,A konvoj hatás például a legrövidebb hátralevő löketidejű (SRTF) algoritmussal megszüntethető.
I,"A körforgó ütemezés nem kooperatív, és elkerüli a kiéheztetést."
I,A körülfordulási idő egyenlő a várakozási és a futási idők összegével.
I,"A körülforgó (RR) ütemezés esetén a konvoj-hatás nem jelentkezik, mivel az ütemező a taszkokat csak adott ideig futtatja, utána átütemezéssel megszakítja a futásukat."
I,A közös erőforrások használatakor kialakuló versenyhelyzeteket szinkronizációs eszközökkel kezelhetjük.
I,"A lapcsere során egy lap behozásakor jellemzően nem kell keretet felszabadítani, mivel szabad keretek létezéséről egy speciális folyamat gondoskodik."
I,A laphiba kezelése általában taszkok közötti kontextusváltással is jár.
I,A laphiba kezelése sok esetben taszkok közötti átütemezéssel is jár.
I,A laphibák rendszerszintű gyakorisága a CPU-kihasználtság növekedésével (egy adott mértékig) lineárisan nő.
I,"A laphibát az MMU jelzi, és a kernel kezeli."
